config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 25 15 5.1261095130429445790340584324744507311706241079226488947886499308262264052250693184144923E-12
(10+2)(17+3) 57600 25 16 3.696489975367285740121978411698497419448266189667470192249657043729212473718010396610860E-13
(10+2)(17+3) 57600 25 17 0
(10+2)(17+3) 57600 25 18 0
(10+2)(17+3) 57600 25 19 0
(10+2)(17+3) 57600 25 20 0
(10+2)(17+3) 57600 25 21 0
(10+2)(17+3) 57600 25 22 0
(10+2)(17+3) 57600 25 23 0
(10+2)(17+3) 57600 25 24 0
(10+2)(17+3) 57600 25 25 0
(10+2)(17+3) 57600 26 1 0
(10+2)(17+3) 57600 26 2 0
(10+2)(17+3) 57600 26 3 0.0009683510762708403247593578621956527861457852354311087597172217386128587024830387363900571951148819
(10+2)(17+3) 57600 26 4 0.0001771737179811638743926375128471164033183477356565487474230534157267803253934319232761278082965510
(10+2)(17+3) 57600 26 5 0.0000361779887902944520382333081514273578160044971929216379643445889598648985311088760919467678889044
(10+2)(17+3) 57600 26 6 0.0000084305490556700471060669892252780554870028537450239870697631251335152432384071138303962553799602
(10+2)(17+3) 57600 26 7 0.0000021546538567561334447856720564554674784863238608785372487682978322003346980504633709955574043048
(10+2)(17+3) 57600 26 8 5.822696882898402770997922646080572623094263995708456712267627170229300433214683797925218536496E-7
(10+2)(17+3) 57600 26 9 1.615062526203671940741356200860600781771341697763635426883144537428032781096805523736800394932E-7
(10+2)(17+3) 57600 26 10 4.48263793067698368349853048792359826813622000040215905143390039008986694384864215561768610236E-8
(10+2)(17+3) 57600 26 11 1.21545375809621332799365023672369103176176941742987547478505233854000499423612248484347301994E-8
(10+2)(17+3) 57600 26 12 3.1388189666742169096369371000812288899193326957994762524983904660567866991179314100775965014E-9
(10+2)(17+3) 57600 26 13 7.489289965006887682285097725834871173220292063565887013319497859192345999353441589109151020E-10
(10+2)(17+3) 57600 26 14 1.584971454353084638142349196088375034480273867156161307761422911596660233806256172061846232E-10
(10+2)(17+3) 57600 26 15 2.79442308754266579678912103071124922849063904762273196193098894742765330382039469212429959E-11
(10+2)(17+3) 57600 26 16 3.6619154799925881496281092606971524843634182074706918814072447111827063710140894563226139E-12
(10+2)(17+3) 57600 26 17 2.690165517330015711992382864975926323119470520838191546331833525413395751310545493521892E-13
(10+2)(17+3) 57600 26 18 0
(10+2)(17+3) 57600 26 19 0
(10+2)(17+3) 57600 26 20 0
(10+2)(17+3) 57600 26 21 0
(10+2)(17+3) 57600 26 22 0
(10+2)(17+3) 57600 26 23 0
(10+2)(17+3) 57600 26 24 0
(10+2)(17+3) 57600 26 25 0
(10+2)(17+3) 57600 26 26 0
(10+2)(17+3) 57600 27 1 0
(10+2)(17+3) 57600 27 2 0
(10+2)(17+3) 57600 27 3 0.0015607772239012604750580739995050010629013183482794460125979679161445160866175296622292573840267929
(10+2)(17+3) 57600 27 4 0.0002952870775753668774049758407701247102120056933591622060341919864277650302491721993778347001840829
(10+2)(17+3) 57600 27 5 0.0000619731246714099146609691000366440952701558227501939436731339729573603261002933623467687661581086
(10+2)(17+3) 57600 27 6 0.0000148742747208103671052871286927493866954373430839030948029506720093672478620030965421759234934364
(10+2)(17+3) 57600 27 7 0.0000039346060707963433155789157839292245082543234731365117710532309672051861725097211149857243429752
(10+2)(17+3) 57600 27 8 0.0000011075711535653517427245181412431422427866571058106813451191402499779122936612265906894596963333
(10+2)(17+3) 57600 27 9 3.225415140559958047283458062680134352789434577548232359659342237141954028298521398759401834903E-7
(10+2)(17+3) 57600 27 10 9.49198807166768913821342656118131712327692879311892224060263313957414136539624453663366093303E-8
(10+2)(17+3) 57600 27 11 2.76379922740766428041587950848112344740585921194170837016429422334539553111752698436267819330E-8
(10+2)(17+3) 57600 27 12 7.7961536567422440501540063242801713221001243137141125285857637550925678885324568854161801948E-9
(10+2)(17+3) 57600 27 13 2.0812189153806332262290153912041063391321561662409999036619075000640550166421229712508945446E-9
(10+2)(17+3) 57600 27 14 5.108138327810752986997506377833274206121366243826184128196246275210722352203014145853221483E-10
(10+2)(17+3) 57600 27 15 1.107705759702222728856962563886150203288514756651797438841914007950502060828522047150966787E-10
(10+2)(17+3) 57600 27 16 1.99489091994573064199850428961862544929432062274473289101133674245402558765016857259198702E-11
(10+2)(17+3) 57600 27 17 2.6635037922294648850611384808218792820047631283919331433294413532833759110072734653274785E-12
(10+2)(17+3) 57600 27 18 1.989429985128710875427253288132367577017619447139156239324304802106226964267336390894477E-13
(10+2)(17+3) 57600 27 19 0
(10+2)(17+3) 57600 27 20 0
(10+2)(17+3) 57600 27 21 0
(10+2)(17+3) 57600 27 22 0
(10+2)(17+3) 57600 27 23 0
(10+2)(17+3) 57600 27 24 0
(10+2)(17+3) 57600 27 25 0
(10+2)(17+3) 57600 27 26 0
(10+2)(17+3) 57600 27 27 0
(10+2)(17+3) 57600 28 1 0
(10+2)(17+3) 57600 28 2 0
(10+2)(17+3) 57600 28 3 0.0024411808763257146151715476476404700054431968730453781267822136016714170172677973842295199971781309
(10+2)(17+3) 57600 28 4 0.0004776140127099406395284233388814177235797660639703693420131289257532635579149324171552138092783825
(10+2)(17+3) 57600 28 5 0.0001028534954253544357522876369235393336305187683154708102489791437841733146971548127976927182993587
(10+2)(17+3) 57600 28 6 0.0000253481180743375274508153012285258363703203206604008283406031472454718684396774958917676014792362
(10+2)(17+3) 57600 28 7 0.0000069104803781659140665282506032136678184887611575648405724973459972185740635946038715272221327343
(10+2)(17+3) 57600 28 8 0.0000020151036959955468146306354734112572715714679622803212594322595408658797118671640719576511333582
(10+2)(17+3) 57600 28 9 6.117409935596899207839699138720449540276187673002292719084118612008591213912587571715624450997E-7
(10+2)(17+3) 57600 28 10 1.891278322544836697375329793261797154760503111736461613166012832621535918916551832566739705175E-7
(10+2)(17+3) 57600 28 11 5.84172353476494823096321547340993310550725866025949849227709717088712962579307341320392701514E-8
(10+2)(17+3) 57600 28 12 1.77019706517635077386893729364322023697897734388855718402586891175784251025691248952684319471E-8
(10+2)(17+3) 57600 28 13 5.1633441184583451438646479177810827540609310739973617979157248038058842686207081448854702524E-9
(10+2)(17+3) 57600 28 14 1.4181992221062516247075268210853483482969599358940755173667158570502834156423770003396792950E-9
(10+2)(17+3) 57600 28 15 3.567303943600003850460946230008950183161078344458644320546033209269467973235992767126813545E-10
(10+2)(17+3) 57600 28 16 7.90290024415257848758145765366845046155258619264095316503641160450334301705220574313903714E-11
(10+2)(17+3) 57600 28 17 1.45026400093627401910001430496955542761928947252139510653994077498561112747684174630675205E-11
(10+2)(17+3) 57600 28 18 1.9689000670161568190542978828424928451156545928993880029407551661115685546084918537262876E-12
(10+2)(17+3) 57600 28 19 1.492692778506755433369275954474442122714375757088487885799385464556090386498083884400118E-13
(10+2)(17+3) 57600 28 20 0
(10+2)(17+3) 57600 28 21 0
(10+2)(17+3) 57600 28 22 0
(10+2)(17+3) 57600 28 23 0
(10+2)(17+3) 57600 28 24 0
(10+2)(17+3) 57600 28 25 0
(10+2)(17+3) 57600 28 26 0
(10+2)(17+3) 57600 28 27 0
(10+2)(17+3) 57600 28 28 0
(10+2)(17+3) 57600 29 1 0
(10+2)(17+3) 57600 29 2 0
(10+2)(17+3) 57600 29 3 0.0037142923892868914133713973573769658636310187724946114924717199326323144662396422093916153416724947
(10+2)(17+3) 57600 29 4 0.0007517686850136563721867905380633608082183592850804284270526706853485566207277591709593605464558475
(10+2)(17+3) 57600 29 5 0.0001659181704061859539379941801475584497034496944101697011428799359107907441955779947728563449978457
(10+2)(17+3) 57600 29 6 0.0000418863590678261494150947969910525547503632969100068182475634652690858665183501738280271459172256
(10+2)(17+3) 57600 29 7 0.0000117287405888897192627885013561829228690700217809249511877170777828205131297110950617992727215434
(10+2)(17+3) 57600 29 8 0.0000035272325712051543354784815882356353335556920451716755936965386324776311213812694345830987079071
(10+2)(17+3) 57600 29 9 0.0000011099747627528044394254011892420499287726971604250596456237655617037546027275701127933059596833
